FundID,Amount,FundCloseDate,FundCloseType,RowID,LastUpdated
15750-82F,10.7578407,10/10/2016,Final Close,1b096a2de03d84cc920426d41837ef3238f3a4a27ffe0a207990b6451cfdbf61,12/09/2024
15756-13F,4.5,,Second Close,b39ad70ce93fd72e5cf6028d6818785f606f67a67c3f929c215286103ca892a9,12/09/2024
15756-13F,5.5,10/21/2016,First Close,f44634509a1738c3cb7236b7dc54081b7d2348556f2de6179fa02de67df69180,12/09/2024
15756-94F,93000.0,05/20/2017,First Close,1f50e91ed7d23be49e8bfc694732e533d3a78791634fff671aca9b628ec79ef2,12/09/2024
15760-00F,20.0,01/01/2017,Final Close,d047a5c0074d3a5f7a448d2c87debc96c3a32ee4c4a1f2890f1a182dabe1651c,12/09/2024
15769-45F,,01/01/2017,Final Close,1ce7320a2155a16b4cd01b1f90313663bb50a8356e326b49ee8cc0067d81363d,12/09/2024
15770-08F,13.5,10/24/2016,Final Close,2628b279be7ba00a2308a3d3dc531e61b83baefd0a1cf6b9cf67db3a522143f1,12/09/2024
15777-19F,14.3,01/01/2018,Final Close,7fc038e8f40ea40b7bdfd71daa9f69fff5213a02631d3bffd697d9571c9eaa38,12/09/2024
15787-81F,20.0,06/07/2017,Final Close,452105685722e42e77742154c625cc693cf5aec0039a9a8629e3d0a1a679613f,12/09/2024
15828-13F,46.0,12/31/2017,Final Close,5e4044f7a05dd238bdc369a1f357d4bde0748bc13b21627edc207ae72c15c7ea,12/09/2024
15862-60F,130.0,12/31/2017,Final Close,369f691be3c66e8f365c1b69ebba2c7d52de27b12ba9ef45bfd576f35ef0492c,12/09/2024
15869-44F,53.0,12/31/2017,Final Close,7173f150ec7231e04d8dd11f09cdc989277ca09f740f717320e4ce23e278a727,12/09/2024
15869-62F,160.0,03/03/2018,Final Close,07fa25737f59cecd5142cfeabe4fa38e05a9171356f6c4a6e07b1027b4baf41a,12/09/2024
15869-62F,45.0,,First Close,40bbc8ecbec6fe31a227c08aa1df08f9425fe3de992d06594936d6e700b738b0,12/09/2024
15898-24F,166.0,01/01/2019,First Close,782af3e6ddd397a8c1d2d061282384eb7b380d4fcf30e4ccc541e8c8df8f356e,12/09/2024
15903-10F,260.0,04/21/2017,Final Close,802dc6166a371bbce09b9329b473a8a90e12fc0f857573d60785275af130ca97,12/09/2024
15915-88F,23.6652783,,First Close,0de0055d738275d3c9afa87c42cd91b0d6a18b87bd81662f55bd155e50039a47,12/15/2024
15927-76F,1.0,10/10/2016,First Close,2c70e97f9a282f43985cf0ab8836cf6cc9b4fdb23278a02cfb6edc1a38e049b6,12/09/2024
15927-76F,4.6,01/31/2017,Second Close,daff16c96f9eb5f814f55282a75ec484f8825b83a250e781fef4729d9277037b,12/09/2024
15936-04F,16.90377022,,Final Close,17c00a8c120ccaae71997c18cec13bde90314546454b5ab6467a794e06c1c4ba,12/15/2024
16347-61F,60.91,12/31/2019,Final Close,76f2d91b08ad34975693d4cc4c07958ef5dc9e0d06dbf27159de57f042e66dbd,12/09/2024
16347-61F,,08/17/2018,Second Close,ac8a3e4c3e8dc80e2251210a883c79a4f29f7b646e01b90564243d0679d5bdf3,12/09/2024
